cell_id,cell_x,cell_y,event_x,event_y,vru_track_id,vru_class,vehicle_track_id,vehicle_class,vru_enter,vru_exit,vehicle_enter,vehicle_exit,pet,order,risk_score
29_17,29,17,1188.1741849999999,699.9198477499999,5121,person,5230,car,234.9,235.3,235.9,236.2,0.5999999999999943,vru_first,0.8800000000000011
2_11,2,11,98.01927281249999,460.81675062499994,3681,person,3578,car,170.9,174.3,174.9,175.0,0.5999999999999943,vru_first,0.8800000000000011
19_8,19,8,764.5621404545454,333.75210409090914,5281,person,5062,car,240.8,240.8,242.3,243.3,1.5,vru_first,0.7
19_8,19,8,766.2600938461538,334.7157938461538,5281,person,5243,car,240.8,240.8,238.1,239.3,1.5,vehicle_first,0.7
7_9,7,9,290.7141647916667,365.91671041666666,20,person,39,car,0.0,3.7,5.6,5.6,1.8999999999999995,vru_first,0.6200000000000001
16_12,16,12,650.5265736428571,501.6502334285715,4135,person,3973,car,206.3,206.7,203.1,204.4,1.9000000000000057,vehicle_first,0.6199999999999989
16_12,16,12,656.1965489285715,502.26271642857137,4280,person,3973,car,207.2,208.2,203.1,204.4,2.799999999999983,vehicle_first,0.4400000000000034
18_13,18,13,736.1047630833334,527.1528007499999,4135,person,3970,car,203.0,203.9,198.4,199.5,3.5,vehicle_first,0.3
18_12,18,12,745.1500612727273,513.6706267272727,4280,person,3970,car,204.3,205.4,199.6,200.5,3.8000000000000114,vehicle_first,0.23999999999999772
15_12,15,12,618.8221187171052,508.26787177631576,4135,person,3973,car,207.1,207.9,201.2,203.0,4.099999999999994,vehicle_first,0.18000000000000113
4_10,4,10,178.85211923076923,422.69621021978026,4039,person,3959,car,195.1,196.7,189.3,190.6,4.5,vehicle_first,0.1
28_17,28,17,1141.4127583333334,714.7954708333333,5324,person,5230,truck,241.4,243.7,236.4,236.8,4.599999999999994,vehicle_first,0.08000000000000114
18_13,18,13,726.6948870833334,539.41243375,4337,person,3970,car,204.2,204.2,198.4,199.5,4.699999999999989,vehicle_first,0.060000000000002274
18_13,18,13,745.6262870833334,523.50763375,4280,person,3970,car,204.2,204.2,198.4,199.5,4.699999999999989,vehicle_first,0.060000000000002274
19_8,19,8,765.5186353846153,334.12077923076924,5281,person,5267,truck,240.8,240.8,245.8,247.0,5.0,vru_first,0.0
